-315,    2,  129,  239, -234,   38
-317,   -1,  138,  242, -248,  -88
-319,   -4,  145,  244, -262,  -98
-323,   -8,  151,  246, -279,  -84
-330,    2,  198,  249, -412,   21
-329,   14,  207,  246, -448,  -75
-327,   17,  208,  242, -467,   16
-324,   26,  212,  240, -485, -164
-321,   31,  213,  235, -505, -116
-318,   40,  215,  231, -526,  -71
-314,   48,  215,  225, -547,   86
-308,   57,  214,  218, -567, -278
-304,   67,  213,  211, -589, -158
-199,  202,  157,  108, -789, -413
-140,  262,  119,   59, -851,  385
-122,  280,   99,   37, -876,  120
 -95,  305,   81,   16, -895, -304
 -14,  378,   12,  -55, -955, 1081
  47,  429,  -40, -105, -987,  775
 187,  533, -165, -217,-1033,  263
 267,  588, -240, -280,-1045,  164
 306,  613, -282, -314,-1048,  757
 509,  726, -483, -464,-1020, 2014
 542,  742, -520, -489,-1007,  238
 582,  761, -562, -517, -992,  614
 690,  804, -676, -587, -929,   47
 724,  813, -713, -609, -905, 1628
 944,  789,-1006, -716, -496,   69
 226,  957, -336, -214,   43, -180
 237,  950, -337, -212,   41, -235
 247,  945, -339, -211,   39, -301
 258,  933, -341, -209,   38, -143
 333,  865, -361, -208,   28, -262
 349,  849, -267, -210,   27, -197
 359,  839, -372, -211,   27, -386
 366,  831, -374, -212,   27, -180
 375,  824, -378, -213,   28,  -98
 383,  814, -382, -215,   29, -127
 390,  804, -386, -217,   28,  -92
 397,  794, -391, -220,   31,   74
 403,  784, -395, -223,   32, -108
 463,  702, -435, -241,   74,  244
 476,  671, -447, -245,   97, -294
 478,  659, -451, -246,  106, -197
 483,  651, -454, -246,  115,  413
 491,  617, -464, -246,  146, -803
 493,  593, -468, -242,  170, -200
 488,  541, -468, -229,  223, -177
 484,  516, -466, -220,  252,  287
 477,  500, -464, -215,  267,  424
 447,  428, -440, -176,  342,  565
 436,  412, -434, -167,  355,  101
 427,  397, -426, -157,  370, -143
 395,  351, -398, -123,  412, -589
 384,  338, -387, -111,  425,-1082
 206,  167, -219,   56,  539, -229
