-315,    2,  129,  239, -234
-317,   -1,  138,  242, -248
-319,   -4,  145,  244, -262
-323,   -8,  151,  246, -279
-330,    2,  198,  249, -412
-329,   14,  207,  246, -448
-327,   17,  208,  242, -467
-324,   26,  212,  240, -485
-321,   31,  213,  235, -505
-318,   40,  215,  231, -526
-314,   48,  215,  225, -547
-308,   57,  214,  218, -567
-304,   67,  213,  211, -589
-199,  202,  157,  108, -789
-140,  262,  119,   59, -851
-122,  280,   99,   37, -876
 -95,  305,   81,   16, -895
 -14,  378,   12,  -55, -955
  47,  429,  -40, -105, -987
 187,  533, -165, -217,-1033
 267,  588, -240, -280,-1045
 306,  613, -282, -314,-1048
 509,  726, -483, -464,-1020
 542,  742, -520, -489,-1007
 582,  761, -562, -517, -992
 690,  804, -676, -587, -929
 724,  813, -713, -609, -905
 944,  789,-1006, -716, -496
 226,  957, -336, -214,   43
 237,  950, -337, -212,   41
 247,  945, -339, -211,   39
 258,  933, -341, -209,   38
 333,  865, -361, -208,   28
 349,  849, -267, -210,   27
 359,  839, -372, -211,   27
 366,  831, -374, -212,   27
 375,  824, -378, -213,   28
 383,  814, -382, -215,   29
 390,  804, -386, -217,   28
 397,  794, -391, -220,   31
 403,  784, -395, -223,   32
 463,  702, -435, -241,   74
 476,  671, -447, -245,   97
 478,  659, -451, -246,  106
 483,  651, -454, -246,  115
 491,  617, -464, -246,  146
 493,  593, -468, -242,  170
 488,  541, -468, -229,  223
 484,  516, -466, -220,  252
 477,  500, -464, -215,  267
 447,  428, -440, -176,  342
 436,  412, -434, -167,  355
 427,  397, -426, -157,  370
 395,  351, -398, -123,  412
 384,  338, -387, -111,  425
 206,  167, -219,   56,  539
